2024-10-18 00:48:10 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/message_system_help.cpp:94 -  [0;31mcan't find network. appType:appmgr appId:0[0m
2024-10-18 00:48:12 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/console.cpp:154 -  [0;31m输入错误，未找到命令: -eixt[0m
2024-10-18 01:03:51 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/console.cpp:154 -  [0;31m输入错误，未找到命令: -exit[0m
2024-10-18 01:11:05 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/sync_component.cpp:57 -  [0;31mGetApp failed. no more. appType:game[0m
2024-10-18 01:17:20 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:13 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:20 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:14 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:15 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:16 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:16 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:17 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:18 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:18 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:25 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:25 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:26 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:26 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:21 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:27 networkType:TcpListen connect type:None value:0[0m
